well,depth_m,T_raw_C,T_bench_C,T_anal_C,T_hyb_C,T_horn_C,T_corrected_C,correction_method
ASIGLIANO 1,1706.0,40.0,50.0,42.81343251502375,42.81827336826581,,42.81827336826581,Hybrid
ASIGLIANO 1,3366.0,73.0,87.0,80.26400612569803,80.28733983285446,,80.28733983285446,Hybrid
ASTI 1,1244.0,38.0,45.0,40.65782363950365,40.66228262977128,,40.66228262977128,Hybrid
ASTI 2,1387.4,40.0,47.0,43.0667195840426,43.072219835045786,,43.072219835045786,Hybrid
ASTI 2,2298.4,55.0,67.0,60.205316932248806,60.2181486468591,,60.2181486468591,Hybrid
BALZOLA 1,834.15,30.0,33.0,31.258682103878417,31.26042368390232,,31.26042368390232,Hybrid
BALZOLA 1,1191.65,31.0,37.0,32.35147437442957,32.353287906467216,,32.353287906467216,Hybrid
BALZOLA 2,1104.35,36.0,42.0,38.4777030197872,38.48178281647781,,38.48178281647781,Hybrid
BALZOLA 2,2312.35,57.0,70.0,62.55233806106539,62.56658606001151,,62.56658606001151,Hybrid
CAVAGLIETTO 1,897.3,30.0,36.0,31.126228645358047,31.12766969448484,,31.12766969448484,Hybrid
CAVAGLIETTO 2,1494.0,45.0,54.0,49.08895944539,49.09744688398096,,49.09744688398096,Hybrid
CINZANO 1,1184.65,33.0,38.0,34.80196583257264,34.804606029566926,,34.804606029566926,Hybrid
DESANA 1,3200.4,84.0,97.0,93.53402784205836,93.56966884375989,,93.56966884375989,Hybrid
GALLIATE 1,3467.0,90.0,106.0,99.25533415566332,99.29123708065892,,99.29123708065892,Hybrid
MORETTA 1,2006.8,53.66666666666666,64.0,55.5833255130506,55.5890305915887,57.20796112468992,57.20796112468992,Horner
NOVI LIGURE 2,1695.2,44.0,50.0,45.59805400115682,45.60292370167051,44.9141740975086,44.9141740975086,Horner
PERNATE 1,2048.65,52.0,61.0,57.06417852704245,57.07621147500696,,57.07621147500696,Hybrid
ROMENTINO 1,3642.7,83.0,100.0,91.77734073521832,91.80931340484985,,91.80931340484985,Hybrid
S.BENIGNO CANAVESE 1,1073.4,30.0,35.0,31.126228645358047,31.12766969448484,,31.12766969448484,Hybrid
S.BENIGNO CANAVESE 1,2088.4,48.0,58.0,52.31392985636951,52.32326503070724,,52.32326503070724,Hybrid
S.BENIGNO CANAVESE 1,2671.4,62.0,70.0,68.41989088310675,68.43794670919819,,68.43794670919819,Hybrid
S.GERMANO VERCELLESE 1,2526.25,58.0,68.0,63.7258486254736,63.74082799028788,,63.74082799028788,Hybrid
S.SEBASTIANO 1,3208.35,76.475,86.0,79.04389884012139,79.05469301463118,83.22033771991086,83.22033771991086,Horner
SALI VERCELLESE 1,2739.8,77.0,86.0,86.02254934923084,86.05414830125378,,86.05414830125378,Hybrid
SALI VERCELLESE 1,3214.7,86.0,99.0,95.23134111807444,95.2661089014307,,95.2661089014307,Hybrid
SALI VERCELLESE 1,4451.8,117.0,133.0,129.37517516780437,129.43479368229967,,129.43479368229967,Hybrid
SALI VERCELLESE 1,4742.8,127.0,142.0,140.00644699884154,140.0727890056715,,140.0727890056715,Hybrid
SALUSSOLA 1,1785.0,60.0,72.0,66.56467586838814,66.58294197351023,,66.58294197351023,Hybrid
SALUZZO 1,1522.6,39.0,45.0,41.862271611773096,41.86724001142253,,41.86724001142253,Hybrid
SALUZZO 2,2489.15,62.0,72.0,68.41989088310675,68.43794670919819,,68.43794670919819,Hybrid
SOMMARIVA DEL BOSCO 1,3793.3,103.55,122.0,108.10064100101988,108.1295589687289,110.31123079176236,110.31123079176236,Horner
TRECATE 10,3759.0,92.0,108.0,99.74540080342378,99.77491988785442,,99.77491988785442,Hybrid
TRECATE 9ST,3810.0,94.0,112.0,103.2813813758534,103.31843801897205,,103.31843801897205,Hybrid
TRECATE A,2497.0,79.0,87.0,88.36957047804745,88.40319755981841,,88.40319755981841,Hybrid
TRECATE B,2056.0,60.0,70.0,68.81077472714729,68.83794735890972,,68.83794735890972,Hybrid
VILLA FORTUNA 1,2364.0,68.0,78.0,77.4007447144646,77.43849439578916,,77.43849439578916,Hybrid
VOLPEDO 1,1791.2,45.0,54.0,48.75124335336485,48.75874868686989,,48.75874868686989,Hybrid
VOLPEDO 2,1987.2,45.0,53.0,48.75124335336485,48.75874868686989,,48.75874868686989,Hybrid
VOLPEDO 3,1851.55,48.0,50.0,52.31392985636951,52.32326503070724,,52.32326503070724,Hybrid
VOLPEDO 4,5245.0,113.0,136.0,123.66990228803954,123.71905402532984,,123.71905402532984,Hybrid
