well,lat,lon,province,elevation_m
ASIGLIANO 1,45.2498290443347,8.41243617429061,VERCELLI,125
ASTI 1,44.9514905790253,8.22159916208721,ASTI,132
ASTI 2,44.9653796576841,8.22298792929804,ASTI,136
BALZOLA 1,45.2209392911872,8.33632244711076,VERCELLI,135
BALZOLA 2,45.1831614772139,8.4096591291185,ALESSANDRIA,115
BALZOLA 3,45.1970503586559,8.37937999096043,ALESSANDRIA,124
BORGO D'ALE 1,45.3976065040016,8.05492024765879,VERCELLI,300
CAVAGLIETTO 1,45.6037232088705,8.49632387141283,NOVARA,236
CAVAGLIETTO 2,45.555666875106,8.47604590531999,NOVARA,199
CINZANO 1,45.1062126829548,7.89019538484193,TORINO,308
CRESCENTINO 1,45.224271719907,8.18750546785009,VERCELLI,152
DESANA 1,45.3089958730507,8.31382044418821,VERCELLI,142
DESANA 2,45.3192737452951,8.30715338463356,VERCELLI,146
DESANA 3,45.3017736111882,8.32270977399302,VERCELLI,145
GALLIATE 1,45.4923340496104,8.6943886607174,NOVARA,160
MALOSSA 15,45.4989998916285,8.54743833261995,BERGAMO,111
MORETTA 1,44.7528725341653,7.55240913719255,CUNEO,260
NOVI LIGURE 1,44.7639918526707,8.81606901106622,ALESSANDRIA,187
NOVI LIGURE 2,44.7645474086345,8.81495785016509,ALESSANDRIA,188
NOVI LIGURE 2 BIS DIR,44.7641307431495,8.81603567477361,ALESSANDRIA,188
PERNATE 1,45.4587224651791,8.69105561606316,NOVARA,146
QUARGNENTO 1,44.9562145154301,8.48327595153037,ALESSANDRIA,115
ROMENTINO 1,45.4762230318981,8.74466862432138,NOVARA,147
S.BENIGNO CANAVESE 1,45.2398249721614,7.80157906162867,TORINO,212
S.GERMANO VERCELLESE 1,45.3514959559288,8.23798358965703,VERCELLI,165
S.SEBASTIANO 1,44.7589936769539,9.1302479388306,ALESSANDRIA,766
SALI VERCELLESE 1,45.3014959425626,8.34048825281218,VERCELLI,137
SALUSSOLA 1,45.469552590847,8.15992343843638,VERCELLI,226
SALUZZO 1,44.6692602837484,7.5418542726801,CUNEO,310
SALUZZO 2,44.706761138308,7.59824484293023,CUNEO,279
SOMMARIVA DEL BOSCO 1,44.7845411456393,7.78463991419116,CUNEO,300
TRECATE 1,45.4534452140585,8.7880039508348,NOVARA,117
TRECATE 10,45.4606674412985,8.77300326932313,NOVARA,140
TRECATE 12,45.4487228531977,8.77578130496512,NOVARA,136
TRECATE 2,45.452056060423,8.74800238993995,NOVARA,137
TRECATE 4,45.4637228618448,8.74439099120399,NOVARA,145
TRECATE 5D,45.4706675058797,8.76161380670651,NOVARA,144
TRECATE 9ST,45.4462226452036,8.74744688500687,NOVARA,139
TRECATE A,45.4742785578346,8.74411307105167,NOVARA,146
TRECATE B,45.4478895086544,8.77578131530492,NOVARA,136
VILLA FORTUNA 1,45.4848341956681,8.73439033352695,NOVARA,152
VILLA FORTUNA 3,45.4917786274058,8.7171673447138,NOVARA,156
VOLPEDO 1,44.875661009749,8.98857438462744,ALESSANDRIA,257
VOLPEDO 2,44.8964947727686,9.01496405401425,ALESSANDRIA,282
VOLPEDO 3,44.8903836403865,9.02468672765269,ALESSANDRIA,345
VOLPEDO 4,44.8989946501507,8.98912968422379,ALESSANDRIA,177
